supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Brakes,255,Sysco Classic Desiccated Coconut,1x2kg,18,11.59,Desiccated Coconut,none,,,,BAKE-DESI-COCO,Desiccated Coconut,kg
Brakes,102240,Sysco Classic Double Strength Apple & Blackcurrant Squash No Added Sugar,1 x 5ltr,3,6.29,,matched,Apple & Blackcurrant Squash,APPL-BLAC-SQUA,,Y,Sysco Classic Double Strength Apple & Blackcurrant Squash No Added Sugar,l
Brakes,33568,Sysco Classic Extended Life Rapeseed Oil,1 x 5ltr,12,10.77,,none,,,,LONG-LIFE-RAPESEED-OIL,Sysco Classic Extended Life Rapeseed Oil,l
Brakes,85064,Sysco Classic Extended Life Rapeseed Oil,1 x 20ltr,4,35.9,,none,,,,LONG-LIFE-RAPESEED-OIL,Sysco Classic Extended Life Rapeseed Oil,l
Brakes,5002322,Sysco Classic Extra Virgin Olive Oil,1 x 2ltr,2,8.95,,matched,Olive Oil,OLIV-OIL,,Y,Sysco Classic Extra Virgin Olive Oil,l
Brakes,71268,Sysco Classic Grated Mature White Cheddar Cheese,1 x 1kg,7,6.79,Lactose-Free Cheddar,client-description,Lactose-Free Cheddar,LACT-FREE-CHED,,Y,Lactose-Free Cheddar,kg
Sysco,C71268,Sysco Classic Grated Mature White Cheddar Cheese,1 x 1kg,3,6.69,Lactose-Free Cheddar,client-description,Lactose-Free Cheddar,LACT-FREE-CHED,,Y,Lactose-Free Cheddar,kg
Brakes,33581,Sysco Classic Ground Cinnamon,1x450g,14,5.89,,matched,Cinnamon,CINN,,Y,Sysco Classic Ground Cinnamon,kg
Sysco,A33581,Sysco Classic Ground Cinnamon,1 x 450g,2,5.73,,matched,Cinnamon,CINN,,Y,Sysco Classic Ground Cinnamon,kg
Brakes,33583,Sysco Classic Ground Ginger,1 x 400g,5,5.66,,matched,Ginger,GING,,Y,Sysco Classic Ground Ginger,kg
Sysco,C11213,Sysco Classic Houmous,1 x 1kg tub,5,3.9,,none,,,,ADD ITEM,Sysco Classic Houmous,kg
Brakes,136748,Sysco Classic Lemon Juice 1ltr,1 x 1ltr,3,2.44,,matched,Lemon,BAKE-ESSN-LEMN,Lemons [LEMO],ADD ITEM,Sysco Classic Lemon Juice 1ltr,l
Brakes,136749,Sysco Classic Lime Juice,1 x 1ltr,5,2.55,,matched,Limes,LIME,,ADD ITEM,Sysco Classic Lime Juice,l
Sysco,A 8823,Sysco Classic Pistachio Kernels 1kg,1 x 1kg,2,37,Pistachio Kernels,client-sku,Pistachio Kernels,NUTS-PIST-KERN,,Y,Pistachio Kernels,kg
Brakes,A 114951,Sysco Classic Plain Flour,6 x 1.5kg,2,10.98,Plain Flour,none,,,,BAKE-PLAN-FLOR,Plain Flour,kg
Brakes,33891,Sysco Classic Self Raising Flour,1 x 25kg,10,25.4,Self-Raising Flour,none,,,,SELF-RASG-FLOR,Self-Raising Flour,kg
Brakes,114953,Sysco Classic Self Raising Flour,6 x 1.5kg,9,11.12,Self-Raising Flour,none,,,,SELF-RASG-FLOR,Self-Raising Flour,kg
Sysco,C22053,Sysco Classic Shredded Mozzarella Cheese,1 x 2kg,4,11.07,Cheese (unspecified),client-description,Cheese (unspecified),CHEE-UNSP-ONE,,GRAT-MOZZ,Cheese (unspecified),kg
Brakes,16191,Sysco Classic Sliced Salt Beef,1x1kg,31,32.72,,matched,Salt Beef,SALT-BEEF,Salt [SALT],Y,Sysco Classic Sliced Salt Beef,kg
Brakes,135336,Sysco Classic Sour Cream 890g,1 x 890g,23,4.39,,matched,Sour Cream,DAIR-SOUR-CREM,,Y,Sysco Classic Sour Cream 890g,kg
Sysco,A135336,Sysco Classic Sour Cream 890g,1 x 890g,2,4.19,,matched,Sour Cream,DAIR-SOUR-CREM,,Y,Sysco Classic Sour Cream 890g,kg
Brakes,149964,"Sysco Classic Tomato Ketchup, 2.15L",1 x 2.15ltr,22,6.99,,matched,Ketchup,KETC,Tomatoes [PROD-TOMA],Y,"Sysco Classic Tomato Ketchup, 2.15L",l
Sysco,C11196,Sysco Classic Tomato Salsa,1 x 1kg tub,5,4.49,,matched,Salsa,SALS,Tomatoes [PROD-TOMA],Y,Sysco Classic Tomato Salsa,kg
Brakes,89216,Sysco Essentials All Purpose Green Cloth,1 x 50,12,3.69,,none,,,,ADD ITEM,Sysco Essentials All Purpose Green Cloth,each
Brakes,A 5025588,Sysco Essentials Floor Cleaner,2 x 5ltr,2,10.7,Floor Cleaner,client-description,Floor Cleaner,CLEN-FLOR-CLNR,,Y,Floor Cleaner,l
Brakes,5025686,Sysco Essentials Laundry Detergent Non Bio,2 x 5ltr,7,20.44,Non-Bio Laundry Detergent,client-description,Non-Bio Laundry Detergent,NBIO-LAUN-DETG,,Y,Non-Bio Laundry Detergent,l
Brakes,5025705,Sysco Essentials Washing Up Liquid,2 x 5ltr,8,9.29,Washing Up Liquid,client-description,Washing Up Liquid,CLEN-WASH-LIQD,,Y,Washing Up Liquid,l
