suggested_name,stock_item,category,group_id,sku,supplier,pack_size,sheet
4-Cup Carry Trays,"AIBULO 20-Pack 4 Cup Tray Holders | Eco-Friendly Biodegradable Drink Carrier Trays for Hot & Cold Beverages | Takeaway Cup Holders for Cars, Prams, Parties, Events, Cafés & Catering",packaging,701,B0D3VJKSQR,Amazon,20-Pack,Sheet1
4-Cup Carry Trays,"20-Pack 4 Cup Tray Holders | Eco-Friendly Biodegradable Drink Carrier Trays for Hot & Cold Beverages | Takeaway Cup Holders for Cars, Prams, Parties, Events, Cafés & Catering",packaging,701,B0D3VJKSQR,Amazon,20-Pack,Sheet1
4-Cup Carry Trays,"AIBULO 20-Pack 4 Cup Tray Holders | Eco-Friendly Biodegradable Drink Carrier Trays for Hot & Cold Beverages | Takeaway Cup Holders for Cars, Prams, Parties, Events, Cafés & Catering",packaging,701,,Amazon,20-Pack,Sheet1
Striped Sweet Bags,"AMD Nexus 100 5"" x 7"" Striped Candy Sweet Paper Bags | Wedding Buffet Favour Cake Gift Pick n Mix Shop | Premium Quality UK Made (Mixed)",packaging,703,B0CCWSQ51Z,Amazon,,Sheet1
Striped Sweet Bags,"5x7"" Pack of 100 Assorted Striped Paper Sweet Bags Ideal for Any Occasion & can be used as Party, Candy, Sweet, Gift, Popcorn, Small Paper bags (Mixed, 5x7-100 Bags)",packaging,703,B0BPPQFWMZ,Amazon,,Sheet1
Henry Hoover Bags,Avern Genuine Numatic Hepa-Flo Hoover Bags Henry Hetty NRV Vacuum Cleaner Dust Bags,cleaning,712,,Amazon,Pack of 10 + 5 Freshener Sticks,Sheet1
Printer Ribbons (SP700),"Bigger 12-Pack Compatible SP700 Printer Ribbon B/R Replacement for Star SP-700BR, RC-700BR, SP-712, SP-712R, SP-742, SP-742R Ink Ribbon (Black and Red)",equipment,722,3157BR,Amazon,12-Pack,Sheet1
Blue Raspberry Bon Bons,Blue Raspberry BonBons Bag,ingredient,726,B00052L4UE,Amazon,1kg,Sheet1
British Cheese Selection,British Cheese Board,ingredient,731,104628,Brakes,1x840g,Sheet1
British Cheese Selection,British Cheese Board 1x840g,ingredient,731,104628,Brakes,1x840g,Sheet1
British Cheese Selection,British Cheese Board 1x840g,ingredient,731,,Brakes,1x840g,Sheet1
British Cheese Selection,British Cheese Board Selection,ingredient,731,C104628,Brakes,1 x 860g,Sheet1
British Cheese Selection,British Cheese Board Selection,ingredient,731,C 104628,Sysco,1 x 860g,Sheet1
British Cheese Selection,British Cheese Board Selection,ingredient,731,C 104628,Brakes,1 x 860g,Sheet1
Trio Cheeseboard,Butlers Brit Trio Cheeseboard,ingredient,735,134489,Brakes,6x155g,Sheet1
Trio Cheeseboard,Butlers British Trio Cheeseboard,ingredient,735,C 134489,Brakes,6 x 155g,Sheet1
Trio Cheeseboard,Butlers British Trio Cheeseboard,ingredient,735,C134489,Brakes,6 x 155g,Sheet1
Cling Film,CL Cling Film,equipment,743,212491,Booker,305m,Sheet1
Cling Film,CL Cling Film 450mm,equipment,743,212451,makro,1 305m,Sheet1
Cling Film,CL Cling Film 450mm,equipment,743,129644,Booker,9 305m,Sheet1
Cling Film,CTS PVC ClingFilm,equipment,743,302784,Booker,1 Sgl,Sheet1
Toilet Cleaner,Brakes Essentials Toilet Cleaner,cleaning,747,A136391,Brakes,6 x 1ltr,Sheet1
Ariel Washing Pods,Ariel Professional All in 1 Washing Detergent Pods,cleaning,748,A151251,Brakes,2 x 50,Sheet1
Thick Bleach,Brake Essentials Bleach,cleaning,749,136383,Brakes,2x5l,Sheet1
Thick Bleach,Brake Essentials Bleach,cleaning,749,136384,Brakes,6x1ltr,Sheet1
Thick Bleach,Brakes Essentials Thick Bleach,cleaning,749,A136384,Brakes,6 x 1ltr,Sheet1
Thick Bleach,Brakes Essentials Thick Bleach,cleaning,749,A 136384,Brakes,6 x 1ltr,Sheet1
Kitchen Degreaser,Brake Essentials Degreaser,cleaning,750,136376,Brakes,6x750ml,Sheet1
Kitchen Degreaser,Brake Essentials Degreaser,cleaning,750,A 136376,Brakes,6X750ML,Sheet1
Kitchen Degreaser,Brakes Essentials Kitchen Degreaser,cleaning,750,A136376,Brakes,6 x 750ml,Sheet1
Kitchen Degreaser,Brakes Essentials Kitchen Degreaser,cleaning,750,A 136376,Brakes,6 x 750ml,Sheet1
Floor Cleaner,CP+ Floor Cleaner,cleaning,751,282792,Booker,1 5ltr,Sheet1
Floor Cleaner,CP+ Lemon Floor Gel,cleaning,751,286983,Booker,1 5ltr,Sheet1
Floor Cleaner,Brake Essentials Floor Cleaner,cleaning,751,136378,Brakes,8x1ltr,Sheet1
Floor Cleaner,Brake Essentials Floor Cleaner,cleaning,751,301,Brakes,8x1ltr,Sheet1
Floor Cleaner,Brake Essentials Floor Cleaner,cleaning,751,A 136378,Brakes,8X1LTR,Sheet1
Floor Cleaner,Brake Essentials Floor Cleaner,cleaning,751,86647,Brakes,8x1ltr,Sheet1
Floor Cleaner,Brake Essentials Floor Cleaner 8x1ltr,cleaning,751,136378,Brakes,8x1ltr,Sheet1
Floor Cleaner,Brakes Essentials Floor Cleaner,cleaning,751,A136378,Brakes,8 x 1ltr,Sheet1
Floor Cleaner,Brakes Essentials Floor Cleaner,cleaning,751,A 136378,Sysco,8 x 1ltr,Sheet1
Floor Cleaner,Brakes Essentials Floor Cleaner,cleaning,751,A 136378,Brakes,8 x 1ltr,Sheet1
Floor Cleaner,Brakes Essentials Floor Cleaner,cleaning,751,136378,Brakes,8 x 1ltr,Sheet1
