sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
BAKE-CAST-SUGR,Brakes,555634,25.96,25,1x25kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,70893,6.49,2,2kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,743,0.10,25,1x25kg,yes,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,A 301,0.10,25,1 x 25kg,yes,,A 301 - Brakes Caster Sugar 1 x 25kg
BAKE-CAST-SUGR,Brakes,A301,0.10,25,1 x 25kg,yes,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,NOSKU,25.96,25,1x25kg,,yes,Brakes Caster Sugar 1x25kg
BAKE-CHOC-CAKE,Sainsbury's,TTD,0.10,,,yes,,CHOCOLATE CAKE
BAKE-CHOC-MUFF,Morrisons,NOSKU,1.80,,,,yes,CHOC CHUNK MUFFINS
BAKE-COCO-POWD,Amazon,BOCHMYMG2C,17.99,1,1kg,,,"Cacao Powder 1kg, by Yin & Yang Superfoods. Pure and Raw, Baking Grade, 100% Natural, High in Fibre and Protein, GMO and Palm Oil Free - Ethically Sourced ASIN: BOCHMYMG2C"
BAKE-COCO-POWD,Booker,101523,26.99,,1 1kg,,,CL Cocoa Powder
BAKE-COCO-POWD,Brakes,A 10678,0.10,0.5,1 x 500g,yes,,A 10678 - Freshers Fat Reduced Cocoa Powder 1 x 500g
BAKE-CORN-FLOR,Aldi,732504,1.95,,,,,CORNFLOUR
BAKE-CORN-FLOR,Brakes,5946,10.84,3.5,1x3.5kg,,,Bysco Classic Cornflour
BAKE-CORN-FLOR,Sainsbury's,NOSKU,2.50,,,,yes,CORNFLOUR
BAKE-CORN-FLOR,Tesco,NOSKU,5.00,0.5,500g,,yes,Brown & Polson Cornflour
BAKE-DEME-SUGR,Booker,069555,7.99,,1 3kg,,,Billingtons Demerera Sugar
BAKE-DESI-COCO,Brakes,A 255,0.10,2,1 x 2kg,yes,,Brakes Desiccated Coconut
BAKE-DESI-COCO,Brakes,A255,0.10,2,1 x 2kg,yes,,Brakes Desiccated Coconut
BAKE-FLAK-ALMD,Brakes,A 5874,14.13,1,1 x 1kg,,,Brakes Flaked Almonds
BAKE-FLAK-ALMD,Brakes,A5874,20.92,1,1 x 1kg,,,Brakes Flaked Almonds
BAKE-GRAN-SUGR,Brakes,A 150847,0.10,3,1 x 3kg,yes,,A 150847 - Tate & Lyle Granulated Sugar 1 x 3kg
BAKE-GRND-ALMD,Brakes,5154,13.50,1,1x1kg,,,Brakes Ground Almonds
BAKE-ICNG-SUGR,Makro,274528,31.49,,1 25kg,,,274528 Silver Spoon Icing Sugar
BAKE-ICNG-SUGR,SLR Supplies,55437,23.55,25,25 KG,,,25 KG ICING SUGAR
BAKE-MINI-MUFF,Aldi,10245,1.85,,,,,CAKE MINI MUFFINS
BAKE-PARC-ROLL,Amazon,B0FHGHB2YK,8.70,,30cm x 60m,,,"Baking Parchment Paper Roll - Silicone-Coated, Double-Sided Non-Stick & Greaseproof - 40gsm Virgin Pulp - Oven & Microwave Safe - BPA Free Halal & Kosher - Cutter Box"
BAKE-PARC-ROLL,Booker,131352,9.99,,50m,,,CL Prof Baking Parchment
BAKE-PARC-ROLL,Booker,235956,75.99,,9 50m,,,CL Prof Baking Parchment
BAKE-PARC-ROLL,Booker,302788,75.99,,9 Sgl,,,CTS BakingParchment
BAKE-PARC-ROLL,Brakes,10678,31.84,,1x3,,,Baking Parch Refill45cmx50m(cs)21C32
BAKE-PARC-ROLL,Brakes,21957,32.05,,45cmx50m(cs)21C32 1x3,,,Baking Parch Refill
BAKE-PARC-ROLL,Brakes,71123,32.05,,1x3,,,Baking Parch Refill45cmx50m(cs)21C32
BAKE-PARC-ROLL,Brakes,86647,34.50,,145cmx50m(cs) 21C32 1x3,,,Baking Parch Refil
